"record_id","timeline","english_title","english_date","english_popup","ndn (Nepali title)","ndate (Nepali date)","npopup (Nepali popup)"
"596400b143fbce217a9bc5ba#22","World War II","Atomic bomb dropped in Hiroshima, Japan","August 6, 1945","'With the permission of the United Kingdom, United States President Harry Truman ordered the Japanese city of Hiroshima to be bombed. The death toll was at least 150,000. This was the first use of nuclear weapons in warfare.'","","",""
"596400b143fbce217a9bc5ba#23","World War II","Atomic bomb dropped in Nagasaki, Japan","August 9, 1945","'The United States drops another atomic bomb on the Japanese city of Nagasaki, this time killing around 75,000 people. The bomb used was even more powerful than the one in Hiroshima.'","","",""
"596400b143fbce217a9bc5ba#24","World War II","Japan surrenders to the Allies","September 2, 1945","'After many countries, including the United States, asked Japan to surrender completely in July 1945, Japanese leaders insisted that they would keep fighting. Only after the United States devastated Japan with two atomic bombs did Japan decide to surrender.'","","",""
"5964012f43fbce217a9bc5bb#0","Nepalese Holidays","Maghe Sankranti","Mid January","'Nepali name: माघे सङ्क्रान्ति<br>Holiday Type: Religious<br>Description: The first day of the month of Magh.'","","",""
"5964012f43fbce217a9bc5bb#1","Nepalese Holidays","Sonam Losar","January-February","'Nepali name: सोनाम ल्होसार<br>Holiday Type: Religious<br>Description: New Year celebration by the Tamang community.'","","",""
"5964012f43fbce217a9bc5bb#2","Nepalese Holidays","Shahid Diwas","Late January-Early February","'Nepali name: शहीद दिन<br>Holiday Type: Non-Religious<br>Description: The day of martyrs in Nepal remembering the first four Martyrs of Nepal.'","","",""
"5964012f43fbce217a9bc5bb#3","Nepalese Holidays","Saraswati Puja (Shree Panchami)","February-March","'Nepali name: सरस्वतीपुजा<br>Holiday Type: Religious<br>Description: Schools celebrate this day by worshiping Goddess Saraswati, Hindu Goddess of knowledge, music, arts and nature.'","","",""
"5964012f43fbce217a9bc5bb#4","Nepalese Holidays","Prajatantra Diwas","Mid February","'Nepali name: प्रजातन्त्र दिवस<br>Holiday Type: Non-Religious<br>Description: Democracy day of Nepal.'","","",""
"5964012f43fbce217a9bc5bb#5","Nepalese Holidays","Maha Shivaratri","February-March","'Nepali name: महा शिवरात्री<br>Holiday Type: Religious<br>Description: Celebrated in reverence of Lord Shiva.'","","",""
"5964012f43fbce217a9bc5bb#6","Nepalese Holidays","Gyalpo Lhosar","February-March","'Nepali name: ग्याल्पो ल्होसार<br>Holiday Type: Religious<br>Description:New Year of Tibetan Community.'","","",""
"5964012f43fbce217a9bc5bb#7","Nepalese Holidays","Nari Diwas","March 8","'Nepali name: नारीदिवस<br>Holiday Type: Non-Religious<br>Description: International Women`s day is celebrated on this day in Nepal.'","","",""
"5964012f43fbce217a9bc5bb#8","Nepalese Holidays","Fagun Purnima","March","'Nepali name: फागुपुर्णिमा<br>Holiday Type: Religious<br>Description: Also known as holi, the festival of colors. In Terai region of Nepal, this festival is celebrated on the next day.'","","",""
"5964012f43fbce217a9bc5bb#9","Nepalese Holidays","Ghode Jatra","March-April","'Nepali name: घोडेजात्र<br>Holiday Type: Religious<br>Description: Observed primarily in Kathmandu valley with horse parades in Tundikhel.'","","",""
"5964012f43fbce217a9bc5bb#10","Nepalese Holidays","Ram Nawami","March-April","'Nepali name: रामनवमी<br>Holiday Type: Religious<br>Description: Birthday of Lord Rama.'","","",""
"5964012f43fbce217a9bc5bb#11","Nepalese Holidays","Naya Barsa","Mid April","'Nepali name: नयावर्ष<br>Holiday Type: Non-Religious<br>Description: Nepalese New Year or the first day of Bikram Sambat calendar.'","","",""
"5964012f43fbce217a9bc5bb#12","Nepalese Holidays","Ubdhauli","April-May","'Nepali name: उधौली उभौली<br>Holiday Type: Religious<br>Description: Celebrated in two parts to mark the start of birds migrating North (Ubdhauli) and returning South (Udhauli). Primarily celebrated by the Kirats'","","",""
"5964012f43fbce217a9bc5bb#13","Nepalese Holidays","Majdur Diwas","May 1","'Nepali name: मजदुरदिवस<br>Holiday Type: Non-Religious<br>Description: International labor day.'","","",""
"5964012f43fbce217a9bc5bb#14","Nepalese Holidays","Buddha Jayanti","April-May","'Nepali name: बुद्धजयन्ति<br>Holiday Type: Religious<br>Description: Birth date of Lord Gautam Buddha.'","","",""
"5964012f43fbce217a9bc5bb#15","Nepalese Holidays","Ganatantra Diwas","Late May","'Nepali name: गनान्तंत्रदिवस<br>Holiday Type: Non-Religious<br>Description: Republic day in Nepal.'","","",""
"5964012f43fbce217a9bc5bb#16","Nepalese Holidays","Ramadan","April-May","'Nepali name: रमजान<br>Holiday Type: Religious<br>Description: Sacred festival of Muslim brotherhood.'","","",""
"5964012f43fbce217a9bc5bb#17","Nepalese Holidays","Janai Purnima and Raksha Bandhan","August","'Nepali name: जनै पुर्णिमा र रक्षा बन्धन<br>Holiday Type: Religious<br>Description: Sacred thread festival, Janai Purnima marks the renewal of the sacred thread by Brahmins. Raksha Bandhan celebrates the holi bond between brothers and sisters.'","","",""
"5964012f43fbce217a9bc5bb#18","Nepalese Holidays","Gai Jatra","August-September","'Nepali name: गाई जात्रा<br>Holiday Type: Religious<br>Description: Celebrated only in Kathmandu, this festival worships cows. Also a day when commemoration of the dead takes place.'","","",""
"5964012f43fbce217a9bc5bb#19","Nepalese Holidays","Krishna Janmashtami","August-September","'Nepali name: कृष्ण जन्माष्टमी<br>Holiday Type: Religious<br>Description: Celebrates the birth of Lord Krishna'","","",""
"5964012f43fbce217a9bc5bb#20","Nepalese Holidays","Gaura Parwa","August-September","'Nepali name: गौरापर्व<br>Holiday Type: Religious<br>Description: Celebrated mostly in far western Nepal, this festival is observed in other parts as well.'","","",""
"5964012f43fbce217a9bc5bb#21","Nepalese Holidays","Baqri Id","August-September","'Holiday Type: Religious<br>Description: Celebrated by Muslims as Feast of Sacrifice'","","",""
"5964012f43fbce217a9bc5bb#22","Nepalese Holidays","Teej","August-September","'Nepali name: तीज<br>Holiday Type: Religious<br>Description: Celebrated by mostly women for the wellness of their husband.'","","",""
"5964012f43fbce217a9bc5bb#23","Nepalese Holidays","Indra Jatra","August-September","'Nepali name: ईन्द्र जात्रा<br>Holiday Type: Religious<br>Description: Celebrated only in Kathmandu, commemorates the founding of Kathmandu.'","","",""
"5964012f43fbce217a9bc5bb#24","Nepalese Holidays","Rishi Panchami","August-September","'Nepali name: ऋषिपंचमी<br>Holiday Type: Religious<br>Description: Celebrated only by women by fasting to show gratitude to the ancient preachers.'","","",""
"5964012f43fbce217a9bc5bb#25","Nepalese Holidays","Sambidhaan Diwas","Mid September","'Nepali name: संबिधानदिवस<br>Holiday Type: Non - Religious<br>Description: Constitution Day in Nepal.'","","",""
"5964012f43fbce217a9bc5bb#26","Nepalese Holidays","Ghatasthapana","September-October","'Nepali name: घटस्थापना<br>Holiday Type: Religious<br>Description: The beginning of Dashain.'","","",""
"5964012f43fbce217a9bc5bb#27","Nepalese Holidays","Fulpati","September-October","'Nepali name: फूलपाती<br>Holiday Type: Religious<br>Description: Seventh day of Dashain when jamara is brought from Gorkha palace to Kathmandu.'","","",""
"5964012f43fbce217a9bc5bb#28","Nepalese Holidays","Maha Ashtami","September-October","'Nepali name: महाअष्टमी<br>Holiday Type: Religious<br>Description: The day to appease Goddess Durga`s manifestation, the blood-thirsty Kali.'","","",""
"5964012f43fbce217a9bc5bb#29","Nepalese Holidays","Maha Navami","September-October","'Nepali name: महनवमी<br>Holiday Type: Religious<br>Description: Maha Navami is the last day of Navaratri.'","","",""
"5964012f43fbce217a9bc5bb#30","Nepalese Holidays","Bijaya Dashami","September-October","'Nepali name: बिजयदशमी<br>Holiday Type: Religious<br>Description: This day is very important day for Nepalese Hindu religion, On Bijaya Dashami mixture of rice, yogurt and vermilion is prepared and is known as Tika. Elders put Tika, Jamara and Kokha on the young ones and give them blessing.'","","",""
"5964012f43fbce217a9bc5bb#31","Nepalese Holidays","Ekadashi","September-October","'Nepali name: एकादशी<br>Holiday Type: Religious<br>Description: Eleventh day of Dashain where the celebration continues.'","","",""
"5964012f43fbce217a9bc5bb#32","Nepalese Holidays","Duwadashi","September-October","'Nepali name: दुवादाशी<br>Holiday Type: Religious<br>Description: The final official consecutive holiday of Dashain celebration.'","","",""
"5964012f43fbce217a9bc5bb#33","Nepalese Holidays","Kojagrat Purnima","September-October","'Nepali name: कोजाग्रतपुर्णिमा<br>Holiday Type: Religious<br>Description: Final full moon day after which Dashain officially ends.'","","",""
"5964012f43fbce217a9bc5bb#34","Nepalese Holidays","Laxmi Puja","October-November","'Nepali name: लक्ष्मीपुञ्ज<br>Holiday Type: Religious<br>Description: In the morning cows are worshipped.Later, usually during the evenings, Laxmi, Goddess of wealth is worshipped.'","","",""
"5964012f43fbce217a9bc5bb#35","Nepalese Holidays","Mha Puja and Govardhan Puja","October-November","'Nepali name: महपुञ्जएंडगोवर्धनपुञ्ज<br>Holiday Type: Religious<br>Description: People worship themselves, oxen and cowdung.'","","",""
"5964012f43fbce217a9bc5bb#36","Nepalese Holidays","Bhai Tika","October-November","'Nepali name: भैतिक<br>Holiday Type: Religious<br>Description: Sisters and brothers wish for the safety and well being of each other. Gifts are exchanged between them.'","","",""
"5964012f43fbce217a9bc5bb#37","Nepalese Holidays","Chhath Parwa","October-November","'Nepali name: छठ<br>Holiday Type: Religious<br>Description: A festival dedicated to Hindu Sun God.'","","",""
"5964012f43fbce217a9bc5bb#38","Nepalese Holidays","Udhauli","December","'Nepali name: उधौली उभौली<br>Holiday Type: Religious<br>Description: Celebrated in two parts to mark the start of birds migrating North (Ubdhauli) and returning South (Udhauli). Primarily celebrated by the Kirats'","","",""
"5964012f43fbce217a9bc5bb#39","Nepalese Holidays","Yomari Punhi and Jhyapu Diwas","November-December","'Nepali name: योमरी  पुन्ही<br>Holiday Type: Religious<br>Description: A festival marking the end of the rice harvest.'","","",""
"5964012f43fbce217a9bc5bb#40","Nepalese Holidays","Christmas Day","December 25","'Nepali name: क्रिसमस<br>Holiday Type: Religious<br>Description: Birthday of Jesus Christ.'","","",""
"5964012f43fbce217a9bc5bb#41","Nepalese Holidays","Tamu Lhosar","Late December","'Nepali name: तमु ल्होसार<br>Holiday Type: Religious<br>Description: New year celebrated by the Gurung Community.'","","",""
"5964018443fbce217a9bc5bc#0","Nepalese Prime Ministers","Damodar Pande","1799-1804","'1st Prime Minister<br>Political Party: Nonpartisan'","","",""
"5964018443fbce217a9bc5bc#1","Nepalese Prime Ministers","None*","1806-1806","'*There was no Prime Minister at this time, but the King was Rana Bahadur Shah<br>Political Party: Nonpartisan'","","",""
"5964018443fbce217a9bc5bc#2","Nepalese Prime Ministers","Bhimsen Thapa","1806-1837","'2nd Prime Minister<br> Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#3","Nepalese Prime Ministers","Rana Jang Pande","1837-1837","'3rd Prime Minister<br> Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#4","Nepalese Prime Ministers","Ranga Nath Poudyal","1837-1838","'4th Prime Minister<br> Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#5","Nepalese Prime Ministers","Chautariya Puskhar Shah","1838-1839","'5th Prime Minister<br> Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#6","Nepalese Prime Ministers","Rana Jang Pande","1839-1840","'3rd Prime Minister<br>Political Party: Nonpartisan'","","",""
"5964018443fbce217a9bc5bc#7","Nepalese Prime Ministers","Ranga Nath Poudyal","1840-1840","'4th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#8","Nepalese Prime Ministers","Fateh Jung Shah","1840-1843","'6th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#9","Nepalese Prime Ministers","Mathabar Singh Thapa","1843-1845","'7th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#10","Nepalese Prime Ministers","Fateh Jung Shah","1845-1846","'6th Prime Minister'","","",""
"5964018443fbce217a9bc5bc#11","Nepalese Prime Ministers","Jung Bahadur Rana","1846-1856","'8th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#12","Nepalese Prime Ministers","Bam Bahadur Kunwar","1856-1857","'9th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#13","Nepalese Prime Ministers","None*","1857-1857","'*The Acting Prime Minister was Krishna Bahadur Kunwar Rana <br> Political Party: Nonpartisan'","","",""
"5964018443fbce217a9bc5bc#14","Nepalese Prime Ministers","Jung Bahadur Rana","1857-1877","'8th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#15","Nepalese Prime Ministers","Ranodip Singh Kunwar","1877-1885","'10th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#16","Nepalese Prime Ministers","Bir Shumsher Jang Bahadur Rana","1885-1901","'11th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#17","Nepalese Prime Ministers","Dev Shumsher Jang Bahadur Rana","1901-1929","'12th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#18","Nepalese Prime Ministers","Chandra Shumsher Jang Bahadur Rana","1901-1929","'13th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#19","Nepalese Prime Ministers","Bhim Shumsher Jung Bahadur Rana","1929-1932","'14th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#20","Nepalese Prime Ministers","Juddha Shumsher Jang Bahadur Rana","1932-1945","'15th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#21","Nepalese Prime Ministers","Padma Shumsher Jang Bahadur Rana","1945-1948","'16th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#22","Nepalese Prime Ministers","Mohan Shumsher Jang Bahadur Rana","1948-1951","'17th Prime Minister <br>Political Party: Nonpartisan '","","",""
"5964018443fbce217a9bc5bc#23","Nepalese Prime Ministers","Matrika Prasad Koirala","1951-1952","'18th Prime Minister <br>Political Party: Nepali Congress '","","",""
"5964018443fbce217a9bc5bc#24","Nepalese Prime Ministers","None*","1952-1953","'*There was no Prime Minister at this time, but the King was Tribhuvan Bir Bikram Shah <br> Political Party: Rastriya Praja Party'","","",""
"5964018443fbce217a9bc5bc#25","Nepalese Prime Ministers","Matrika Prasad Koirala","1953-1955","'18th Prime Minister '","","",""
